daytime,TA_0_0_1,TS_0_0_1,TS_0_0_2,TW_0_0_1,air_temperature,qc_co2_flux,co2_flux,wind_dir
14/11/2015 10:00,432.2501471,28.58468333,32.57785,29.91574333,303.3676097,1,-0.02604936,68.77871169
14/11/2015 10:30,504.2446814,28.06234333,29.87019333,30.05375,303.4088936,2,-2.889601281,43.30434271
14/11/2015 11:00,541.8195588,27.82033333,30.29931,30.26829333,303.2043482,1,0.062266678,65.22509539
14/11/2015 11:30,653.2874755,28.07835333,30.41136,30.34898,303.4468616,1,0.01129792,56.49221895
14/11/2015 12:00,716.4643382,28.31314,30.4435,30.39769,303.6427744,1,0.006893718,52.86748347
14/11/2015 12:30,761.3567157,28.42341333,30.43911,30.38487,303.7520139,1,0.105264015,19.44750806
14/11/2015 13:00,778.459902,28.50592333,30.51134667,30.41074667,303.8829418,1,0.118408192,356.4285327
14/11/2015 13:30,786.96875,28.58424333,30.68039333,30.58459667,304.0151448,1,0.093895935,325.7895531
14/11/2015 14:00,721.566152,28.75744333,31.00708333,NA,304.4142962,1,0.086121298,320.8966137
14/11/2015 14:30,668.6727941,NA,31.1769,NA,305.2628262,1,-0.026251529,308.0758458
14/11/2015 15:00,628.88875,NA,31.09744333,NA,305.4116669,1,-0.009483176,306.7440113
14/11/2015 15:30,576.8807353,NA,31.04282667,NA,305.1719384,1,-0.003877672,304.4418077
14/11/2015 16:00,449.5663235,NA,31.11584,NA,305.0559729,1,-0.176502724,306.0777105
14/11/2015 16:30,398.6083824,NA,31.44593,NA,305.5070803,1,0.022661416,326.9042013
14/11/2015 17:00,290.4397794,NA,31.48478333,NA,305.3765616,1,0.075468776,324.9070872
14/11/2015 17:30,181.8794853,NA,31.57912667,NA,304.9894484,1,-1.105977752,293.4188727
14/11/2015 18:00,43.59880882,NA,31.61074667,NA,304.3479312,1,-0.377991247,254.6649973
14/11/2015 18:30,39.88420588,29.09522333,31.50157333,NA,304.3565113,1,0.582478084,240.8472076
14/11/2015 19:00,-7.284637794,29.10719,31.19576333,NA,304.4857833,2,-0.07533674,224.9301614
14/11/2015 19:30,-27.29221569,28.50091,NA,NA,303.9518681,1,0.368305527,223.4760068
14/11/2015 20:00,-31.658125,28.30155667,NA,NA,303.8172549,1,0.482392185,174.0173515
14/11/2015 20:30,-28.33489706,27.81812667,NA,NA,303.2422875,1,-0.645294011,197.6045455
14/11/2015 21:00,-38.77920343,27.62048667,NA,NA,303.0604594,1,-0.048159685,200.3484697
14/11/2015 21:30,-35.61027941,27.47176,29.65431,NA,303.067326,1,0.098746891,203.8575609
14/11/2015 22:00,-36.37745588,27.37095333,30.62709667,30.66146,303.0458546,1,0.01464913,223.7576068
14/11/2015 22:30,-38.06364951,27.33395,30.64435333,NA,303.000424,2,-0.117580287,237.3633624
14/11/2015 23:00,-45.91198775,27.18303333,30.55102667,30.66897,302.7979337,1,0.022495683,226.4828304
14/11/2015 23:30,-35.46327353,27.14453333,30.54766333,30.59732333,303.0737007,1,0.721818314,39.04971633
15/11/2015 0:00,-27.55897304,28.52234,30.48168667,30.52721667,304.3679697,1,0.490091102,69.25222816
15/11/2015 0:30,-17.45004412,28.39376667,30.47455667,30.50917333,304.1367481,1,-0.019715091,67.16290909
15/11/2015 1:00,-25.71310784,27.92438667,30.48627667,30.53356333,303.5756587,1,-2.495924556,84.39434409
15/11/2015 1:30,-36.52104657,27.53072667,30.56382,30.57622667,303.1763133,1,-0.06683284,93.22233246
15/11/2015 2:00,-46.22351961,27.10889,30.53644,30.57499,302.8549388,1,0.180502409,99.26324162
15/11/2015 2:30,-34.37240686,27.17163,30.42449667,30.50582,302.9166325,1,0.455948619,206.5947789
15/11/2015 3:00,-32.35082353,27.17452333,30.40708667,30.45163667,302.8062244,1,0.444370843,231.3301346
15/11/2015 3:30,-43.89672304,26.94076333,30.39592667,30.43163333,302.6421869,1,0.150223912,211.3932556
15/11/2015 4:00,-32.52216176,27.44051667,30.36607667,30.40308,303.2554195,1,-0.514397995,72.93491376
15/11/2015 4:30,-28.67175,27.52850333,30.33398667,30.36736,303.2073649,1,-0.317661495,66.39377833
15/11/2015 5:00,-35.98705392,27.30796667,30.27698,30.30239,302.873709,1,-0.762720436,143.0678244
15/11/2015 5:30,-45.11171078,26.87685333,30.16732667,30.19422667,302.3301017,1,0.320469082,173.0376133
15/11/2015 6:00,-54.29916912,26.31455667,30.12485,30.14865667,301.8086897,2,-0.325882182,234.7978146
15/11/2015 6:30,-55.77557353,26.00744667,30.06271,30.09820667,301.6094398,2,-0.151623061,189.1825052
15/11/2015 7:00,-55.47328431,25.84342667,30.07009,30.20417333,301.4431817,2,0.036377835,229.8741378
15/11/2015 7:30,-45.0182598,25.85681333,NA,30.19291333,301.5202922,1,-0.085098631,10.66297635
15/11/2015 8:00,-10.72470569,26.38549,NA,30.20771667,301.9038494,2,0.761928356,167.7856205
15/11/2015 8:30,109.8337745,27.67902,NA,30.25234333,302.8857172,2,-0.162606689,163.6741186
15/11/2015 9:00,179.3452941,28.19811333,NA,30.25932667,302.9107236,2,-0.070372629,119.057409
15/11/2015 9:30,279.4206618,NA,31.76436333,30.29523667,303.2023372,1,0.201386562,42.42757921
15/11/2015 10:00,337.3332108,27.90040333,31.24462,30.39149667,303.2499495,1,0.069930629,40.30255912
15/11/2015 10:30,446.2824265,27.69948667,31.11742667,30.52443667,303.1052461,1,0.145748706,69.65808193
15/11/2015 11:00,573.4747549,27.59864667,NA,30.46200667,303.0551063,1,0.173450539,63.60324471
15/11/2015 11:30,699.9063725,27.70114667,30.63802333,30.54196667,303.2231157,1,-0.048755934,35.77749772
15/11/2015 12:00,725.5479167,27.82336667,30.80466,30.68114667,303.4469953,1,0.014736647,345.7525208
15/11/2015 12:30,694.7797549,27.8388,30.84519,30.84575667,303.5063204,1,-0.012973924,339.0576378
15/11/2015 13:00,739.2135049,28.07539,31.03506333,30.97259,303.7525072,1,0.065452916,318.5871145
15/11/2015 13:30,770.2109069,28.22006333,31.11751667,NA,303.8603791,1,0.012255313,317.406868
15/11/2015 14:00,758.6490196,NA,31.19917,NA,304.0219402,1,-0.011352298,308.7932186
15/11/2015 14:30,724.5269853,NA,31.19371,NA,304.134206,1,0.049944106,303.0062878
15/11/2015 15:00,619.8623775,NA,31.30309333,NA,304.296569,1,-0.007667522,306.9470757
15/11/2015 15:30,484.9477696,NA,31.37143,NA,304.5233982,1,0.02976511,310.9223072
15/11/2015 16:00,319.4289706,NA,31.44939333,NA,304.7316553,1,0.022311519,293.1560501
15/11/2015 16:30,349.6404412,NA,31.41563667,NA,304.7751003,1,0.102102701,294.5049964
15/11/2015 17:00,294.0434559,NA,31.42275,NA,305.0461218,1,0.026008979,308.9432038
15/11/2015 17:30,61.75027525,NA,31.46254667,NA,303.8441831,1,0.379189628,2.166605178
15/11/2015 18:00,-61.71086765,26.71541333,31.46537667,NA,302.3885234,1,0.189450369,23.53292662
15/11/2015 18:30,-60.52264951,26.7484,31.42748667,NA,302.4574348,1,-5.76966813,70.35266456
15/11/2015 19:00,-67.40327941,26.61465,31.35759667,NA,302.2379492,1,-1.559058935,107.2976537
15/11/2015 19:30,-42.25529902,26.14422333,31.2393,NA,301.7283502,1,-1.132159427,193.4860961
15/11/2015 20:00,-50.37914461,26.23703333,31.10422,NA,301.9505275,1,-0.316977091,153.7696358
15/11/2015 20:30,-44.62298284,25.75113667,30.98017333,NA,301.2642283,1,-0.340562264,166.6491455
15/11/2015 21:00,-41.50858578,25.28556667,30.92345667,NA,300.800705,1,0.674622086,193.9634247
15/11/2015 21:30,-39.2241299,25.41151333,30.90986,NA,301.1201818,1,0.086383296,183.3513606
15/11/2015 22:00,-36.06153186,25.81914,30.95869667,31.01285,301.6496899,1,0.088834908,214.9987565
15/11/2015 22:30,-37.73944853,25.99777,30.94091,30.98293,301.7780328,1,0.077413989,214.5749258
15/11/2015 23:00,-38.39028431,25.96745667,30.92544667,30.96061667,301.7557175,1,-2.652871882,227.293156
15/11/2015 23:30,-39.10389461,25.95076,30.87441333,30.91523667,301.687582,2,-0.231355505,204.4635741
16/11/2015 0:00,-47.10946078,25.90528667,30.81291,30.85170667,301.6210354,2,0.053287629,301.8013421
16/11/2015 0:30,-51.28893137,25.79647,30.80489333,30.83353667,301.5193113,1,0.255546266,174.8329668
16/11/2015 1:00,-53.72476961,25.73611667,30.81788,NA,301.526819,1,0.075974707,198.8157264
16/11/2015 1:30,-53.68485784,25.85625667,30.75001667,NA,301.6732218,1,-0.019325775,193.7188074
16/11/2015 2:00,-53.29981863,25.88885333,30.72160333,NA,301.6300734,1,0.036970828,197.2462881
16/11/2015 2:30,-55.72397304,25.79467333,30.70150333,NA,301.6281778,1,0.16402771,179.7227478
16/11/2015 3:00,-59.94191422,25.73671667,30.60626667,30.64258333,301.5120149,1,0.020416743,181.5983636
16/11/2015 3:30,-60.91839706,25.5629,30.59330667,30.61718333,301.292633,1,-0.18244688,211.9987236
16/11/2015 4:00,-45.89738235,25.61102667,30.59947,30.63116667,301.3942909,1,-0.09630037,198.133566
16/11/2015 4:30,-52.44454657,25.85534,30.54658,30.5495,301.6695126,1,0.057076835,156.8593873
16/11/2015 5:00,-54.33130392,25.67008667,30.51856667,30.50891667,301.3608965,1,0.126971168,176.5566751
16/11/2015 5:30,-50.04959069,25.58723667,30.46509667,30.48558,301.3112394,1,0.02499389,164.6677221
16/11/2015 6:00,-50.38206863,25.52463333,30.43001,30.46011667,301.2149477,1,1.300377506,162.3968671
16/11/2015 6:30,-55.72884314,25.41091333,30.37475333,30.41636667,301.0638132,1,0.341405818,189.3956266
16/11/2015 7:00,-47.33921569,25.43932667,30.33471333,30.35312,301.1282248,1,0.175720028,171.3790142
16/11/2015 7:30,-41.27833824,25.54412667,30.25036,30.28563333,301.3003266,1,-0.08823905,187.188889
16/11/2015 8:00,-21.10039069,25.85082333,30.23096,30.31947667,301.5888452,1,0.208893681,173.4716491
16/11/2015 8:30,28.31444963,26.50283333,NA,30.2601,302.1454754,2,-0.602916898,103.1614779
16/11/2015 9:00,76.4237549,26.88746667,NA,30.23694667,302.3995399,1,0.075249073,121.4127431
